date,num_likes,num_retweets,tweet_source,tweets
2022-10-19 18:57:33+00:00,701,83,Twitter for Advertisers,"Revealed: the rationale behind tonight's team selection, as explained by Erik ⬇

#MUFC || #MUNTOT"
2022-10-19 18:52:28+00:00,1444,149,Twitter for Advertisers,"🏃‍♂️ @B_Fernandes8 leading the charge for warm-ups!

#MUFC || #MUNTOT"
2022-10-19 18:35:17+00:00,1760,225,Twitter Web App,"Love an evening game at Old Trafford! 🌕

We're ready for this one 👊🔋

#MUFC || #MUNTOT https://t.co/Kfq9VonTX8"
2022-10-19 18:15:11+00:00,14417,2721,Twitter for Advertisers,"🚨 TEAM NEWS 🚨

🔄 One change for the Reds as @MarcusRashford replaces @Cristiano...

#MUFC || #MUNTOT"
2022-10-19 16:52:40+00:00,2416,235,Twitter Web App,"Legends ❤️

#PL matchday 10/38.

#MUFC || #MUNTOT https://t.co/MqkoAmqkN8 https://t.co/apRLO5EL2X"
2022-10-19 16:16:00+00:00,6880,611,Twitter for Advertisers,"📍 Back in M16.

#MUFC || #MUNTOT"
2022-10-19 15:33:00+00:00,9187,741,Twitter for Advertisers,"🏟 @Cristiano has found the net eight times against Spurs at Old Trafford, including a fine hat-trick in March...

#MUFC || #MUNTOT"
2022-10-19 15:08:31+00:00,5543,654,Twitter Web App,"⏳ @MarcusRashford isn't far away from a big United milestone 💯

#MUFC https://t.co/poweGDyPAr https://t.co/gWXZ8N6Ppb"
2022-10-19 14:07:00+00:00,5139,392,Twitter for Advertisers,"🧮 @MarcusRashford has added to his United assists tally three times this season, while also approaching his century of Reds goals 💯

#MUFC || #MUNTOT"
2022-10-19 12:44:00+00:00,3690,283,Twitter for Advertisers,"📬 Just in: Erik's #MUNTOT Q&amp;A 👇

#MUFC || #PL"
2022-10-19 11:30:01+00:00,2737,196,Twitter for Advertisers,"A special day 🫶🇮🇳

🎥 Relive the action as our fans in Kolkata turned out in huge numbers for another memorable #ILOVEUNITED event 👊

#MUFC"
2022-10-19 09:55:00+00:00,3784,332,Twitter for Advertisers,"Mancunian at heart ❤️

Enjoy our 20-minute chat with @B_Fernandes8 about how he's made Manchester his home 🏠🔴

#MUFC"
2022-10-19 08:43:00+00:00,5423,413,Twitter for Advertisers,"Proud to wear red 📌

#MUFC || #MUNTOT"
2022-10-19 06:55:00+00:00,12072,1011,Twitter Web App,"☕ Good morning from Old Trafford.

#MUFC || #MUNTOT https://t.co/lIuEhpDbQJ"
2022-10-19 05:09:00+00:00,10627,1141,Twitter for Advertisers,"💡 A @PremierLeague night under the lights awaits! 🔴

#MUFC || #MUNTOT"
2022-10-18 22:19:00+00:00,2885,225,Twitter for Advertisers,"The November issue of our monthly magazine is out now — don't miss it! 🗞

#MUFC"
